id;nome;usuario;email;matricula;senha
1;mobile Fish;Home Loan Account Table Computer;Jadon_Streich@gmail.com;alarm;Tasty Metal Bacon
2;red Chips Soap;Home Loan Account;Holden52@gmail.com;enable Gorgeous Frozen Pants;Common
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;Adonis_White56@gmail.com;envisioneer Music Public-key;infomediaries
4;Investment Account;Games Regional Digitized;Nicolas_Hagenes@yahoo.com;Mayotte;Industrial
5;connect Markets Chief;capacitor archive;Cleve96@yahoo.com;navigating;interactive generating compelling
6;Home Loan Account;Plastic;Casper98@hotmail.com;index orange;Jewelery
7;monitor;1080p Checking Account Identity;Betty_Volkman62@yahoo.com;archive Fantastic Plastic Chicken;payment
8;withdrawal COM;embrace Developer;Noemi.Reichert@hotmail.com;Networked Sleek Metal Table Small;Intelligent Outdoors
9;Harbor Montana;Corporate Phased relationships;Columbus.Farrell59@hotmail.com;Chilean Peso Unidades de fomento;Web virtual deposit
10;Squares mint green e-business;Ghana back-end National;Sven22@gmail.com;synergies copying;ability Hat Iraq
